symbol
SUNPHARMA.NS
DRREDDY.NS
DIVISLAB.NS
CIPLA.NS
LUPIN.NS
TORNTPHARM.NS
ALKEM.NS
AUROPHARMA.NS
BIOCON.NS
GLENMARK.NS
