symbol
RELIANCE.NS
HDFCBANK.NS
ICICIBANK.NS
INFY.NS
TCS.NS
SBIN.NS
BHARTIARTL.NS
ITC.NS
LT.NS
KOTAKBANK.NS
AXISBANK.NS
HINDUNILVR.NS
ASIANPAINT.NS
MARUTI.NS
SUNPHARMA.NS
ULTRACEMCO.NS
TITAN.NS
BAJFINANCE.NS
BAJAJFINSV.NS
WIPRO.NS
NESTLEIND.NS
POWERGRID.NS
NTPC.NS
JSWSTEEL.NS
TATASTEEL.NS
HCLTECH.NS
TECHM.NS
ONGC.NS
COALINDIA.NS
ADANIENT.NS
ADANIPORTS.NS
AMBUJACEM.NS
ACC.NS
DLF.NS
DIVISLAB.NS
DRREDDY.NS
CIPLA.NS
APOLLOHOSP.NS
INDUSINDBK.NS
BAJAJ-AUTO.NS
HEROMOTOCO.NS
EICHERMOT.NS
BRITANNIA.NS
SHREECEM.NS
GRASIM.NS
HINDALCO.NS
VEDL.NS
PNB.NS
BANKBARODA.NS
CANBK.NS
IDFCFIRSTB.NS
FEDERALBNK.NS
AUBANK.NS
BANDHANBNK.NS
MUTHOOTFIN.NS
SRF.NS
PIIND.NS
LUPIN.NS
BIOCON.NS
ALKEM.NS
TORNTPHARM.NS
ABB.NS
SIEMENS.NS
BHEL.NS
HAL.NS
BEL.NS
GAIL.NS
IOC.NS
BPCL.NS
HINDPETRO.NS
IGL.NS
MGL.NS
TRENT.NS
DMART.NS
PAYTM.NS
IRCTC.NS
INDIGO.NS
CONCOR.NS
TVSMOTOR.NS
ASHOKLEY.NS
M&M.NS
CHOLAFIN.NS
RECLTD.NS
PFC.NS
NHPC.NS
TATAPOWER.NS
JSWENERGY.NS
HAVELLS.NS
DIXON.NS
VOLTAS.NS
CROMPTON.NS
POLYCAB.NS
AARTIIND.NS
DEEPAKNTR.NS
NAVINFLUOR.NS
ATUL.NS
UPL.NS
COROMANDEL.NS
RBLBANK.NS
YESBANK.NS
IDBI.NS
PERSISTENT.NS
COFORGE.NS
MPHASIS.NS
KPITTECH.NS
TATAELXSI.NS
ZYDUSLIFE.NS
GLENMARK.NS
SUNTV.NS
ZEEL.NS
PVRINOX.NS
IRFC.NS
RVNL.NS
NBCC.NS
HUDCO.NS
LTM.NS
TMPV.NS
BAJAJ-AUTO.NS
SAIL.NS
NATIONALUM.NS
HINDZINC.NS
JINDALSTEL.NS
AUROPHARMA.NS
LAURUSLABS.NS
SBILIFE.NS
HDFCLIFE.NS
ICICIPRULI.NS
MANAPPURAM.NS
DABUR.NS
PIDILITIND.NS
MARICO.NS
COLPAL.NS
CUMMINSIND.NS
DELHIVERY.NS
NAUKRI.NS
INDHOTEL.NS
ETERNAL.NS
ADANIGREEN.NS
ADANIPOWER.NS
ATGL.NS
APLAPOLLO.NS
APLLTD.NS
APOLLOTYRE.NS
ASTRAL.NS
BALKRISIND.NS
BERGEPAINT.NS
BHARATFORG.NS
BOSCHLTD.NS
CANFINHOME.NS
EXIDEIND.NS
GMRAIRPORT.NS
GODREJCP.NS
GODREJPROP.NS
HDFCAMC.NS
HINDPETRO.NS
ICICIGI.NS
IDEA.NS
INDUSTOWER.NS
JUBLFOOD.NS
LICHSGFIN.NS
MCX.NS
NMDC.NS
OBEROIRLTY.NS
PAGEIND.NS
PETRONET.NS
TATACHEM.NS
TATACONSUM.NS
